Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Resident Evil 3: Extinción;Blu-Ray;Sencilla;1;Russell Mulcahy;2007;Ciencia ficción. Thriller. Fantástico. Acción | Zombis;Distribuido por Sony. Screen Gems, Constantin Film. Davis Impact. Impact Pictures;
Resident Evil 4: Ultratumba;Blu-Ray;Sencilla;1;Paul W.S.Anderson;2010;Acción. Ciencia ficción | Futuro postapocalíptico. Zombis;Distribuido por Sony. Screen Gems, Constantin Film. Davis Impact.  Coproducción Canadá-Estados Unidos-Reino Unido;
Resident Evil: Venganza;Blu-Ray;Sencilla;1;Paul W.S.Anderson;2012;Ciencia ficción. Acción | Futuro postapocalíptico. Zombis;Distribuido por Sony. Screen Gems, Constantin Film. Davis Impact. Coproducción Canadá-Alemania;
Resident Evil: Capítulo final;Blu-Ray;Sencilla;1;Paul W.S.Anderson;2017;Acción. Ciencia ficción | Zombis. Videojuego;Distribuido por Sony. Screen Gems, Capcom. Constantin Film, Davis Films, Impact Pictures.;
Resident Evil: Degeneración;Blu-Ray;Sencilla;1;Makoto Kamiya;2008;Animación. Terror. Acción. Ciencia ficción;Distribuido por Sony.. Capcom, Resident Evil CG Film Partners, Sony Pictures Entertainment ;
Resident Evil: La maldición;Blu-Ray;Sencilla;1;Makoto Kamiya;2012;Animación. Terror. Acción | Zombis;Resident Evil: Damnation. Distribuido por Sony. Capcom, Digital Frontier, Resident Evil CG2 Film Partners,;
Resident Evil: Vendetta;Blu-Ray;Sencilla;1;Takanori Tsujimoto;2017;Animación. Acción. Terror | Zombis;Distribuida por Sony Pictures Entertainment (SPE). Capcom.;
Reideen ;DVD;Sencilla;6;Mitsuru Hongo;2007;Serie de TV. Animación. Ciencia ficción | Remake. Robots;"Selecta Visión. Serie completa 26 episodios. Distribuido por Paramount. Production I.G. Caja Slim, con botón para abrir. Remake de la serie de Yoshiyuki Tomino ""Yûsha Raidîn"" de 1975.";
Bleach;DVD;Sencilla con funda cartón;3;Kubo Tite, Noriyuki Abe;2004;Serie de TV. Animación. Aventuras. Acción. Fantástico;Jonu Media. Emmon. Distribuida por savor ediciones.  Pierrot, Dentsu. Episodios del 96 al 109.;
Pokémon 11: Giratina y el defensor de los cielos;DVD;Sencilla;1;Kunihiko Yuyama;2008;Animación. Fantástico. Aventuras. Infantil;GAME FREAK Inc., Nintendo, Pikachu Project, Shogakukan-Shueisha Productions, TV Tokyo;
Apolo 13;Blu-Ray;Sencilla;1;Ron Howard;1995;Drama. Aventuras | Aventura espacial. Años 70;Imagine Entertainment. Apollo 13. Distribuido por SonyPictures Home Entertainment;
Doom;Blu-Ray;Sencilla;1;Andrzej Bartkowiak;2005;Ciencia ficción. Acción. Aventuras. Thriller | Extraterrestres;Universal Pictures. Distribuido por Paramount Spain.;
Senran Kagura;DVD;Sencilla;3;Takashi Watanabe;2013;Serie de TV. Animación. Acción. Comedia.  Videojuego. Ninjas.;Artland. Japan Weekend Anime. Jointo Entertainment S.L. Distribuido por TEMA Distribuciones. V.O. Japonés. 12 episodios;
Five Numbers!;DVD;Sencilla;1;Hiroaki Ando;2011;Animación. Ciencia ficción | Drama carcelario;Sunrise, Inc., Bandai Visual, Seraphim Digital, Showgate. Jointo Entertainment S.L. Distribuido por TEMA Distribuciones. V.O. Japonés. Colecci. Anime 2 Ovas en un DVD;
Coicent;DVD;Sencilla;1;Shuhei Morita;2011;Animación. Romance. Fantástico | Mediometraje;Sunrise, Inc.. Distribuida por Sentai Filmworks. Jointo Entertainment S.L. Distribuido por TEMA Distribuciones. V.O. Japonés. Colecci. Anime 2 Ovas en un DVD;
Tierra de Dios;Blu-Ray;Sencilla;1;Francis Lee;2017;Drama. Romance | Drama romántico. Vida rural.;Karma films. Audio Catalán. Inflammable Films, Magic Bear Productions, Met Film Production. Slip-cover;
Mommy;Blu-Ray;Amaray Negro;1;Xavier Dolan;2014;Drama | Familia. Distopía. Adolescencia. Maternidad;"Avalon. Editada y distribuida por cameo. Coproducción Canadá-Francia; Metafilms. Slip-Cover";
Yojimbo (El mercenario);Blu-Ray;Amaray Negro;1;Akira Kurosawa;1961;Acción. Drama | Japón feudal. Siglo XIX. Samuráis;a contracorriente films. Toho. V.O. Japonés. Subtitulos en castellano. Kurosawa Production Co. Slip-Cover;
Border;Blu-Ray;Amaray Negro;1;Ali Abbasi;2018;Fantástico. Drama. Romance;"Karma films. Coproducción Suecia-Dinamarca; Meta Spark & Kärnfilm. Incluye libreto y 4 postales. Slip.Cover";
Climax;Blu-Ray;Amaray Rojo;1;Gaspar Noé;2018;Thriller. Drama | Baile. Drogas. Thriller psicológico;Avalon. Editada y distribuida por cameo. Filmin. arte France Cinéma, Rectangle Productions. Slip-Cover;
Retrato de una mujer en llamas;Blu-Ray;Amaray Negro;1;Céline Sciamma;2019;Drama. Romance | Siglo XVIII. Pintura. Drama de época.;Karma films. arte France Cinéma, Hold Up Films, Lilies Films. Canal+. Slip-Cover;
McQueen: The Man & Le Mans;Blu-Ray;Sencilla;1;Gabriel Clarke, John McKenna;2015;Documental | Biográfico. Coches / Automovilismo.;Karma films. Content Media, McQueen Racing. Noah films. Slip-Cover;
El secreto del libro de Kells;Blu-Ray;Sencilla;1;Tomm Moore, Nora Twomey;2009;Animación. Aventuras. Fantástico | Siglo IX. Edad Media;"Karma films. Coproducción Irlanda-Bélgica-Francia; Les Armateurs, Vivi Film, Cartoon Saloon. Slip-Cover";
Intemperie;Blu-Ray;Amaray Negro;1;Benito Zambrano;2019;Drama. Thriller. Western | Amistad. Infancia. Posguerra española.;a contracorriente films. Morena films. Coproducción España-Portugal. Movistar+, Televisión Española (TVE). Slip-Cover;
Piel de asno;Blu-Ray;Especial;1;Jacques Demy;1970;Fantástico. Musical. Romance;a contracorriente films. Marianne Productions, Parc Film. Amaray blanco en funda de cartón y libreto de 54 págs. Edición 50 aniversario. Ed. 2020;
Ip Man;Blu-Ray;Especial;1;Wilson Yip;2008;Acción | Biográfico. Histórico. Años 30. Artes marciales.;Ref. TS587. Mandarin Films Distribution Co. Edición limitada funda de cartón (0881/1600). Amaray negro. Incluye 8 postales.;Caja 1, debajo cama (2)
Transformers: La venganza de los caídos;Blu-Ray;Especial;2;Michael Bay;2009;Ciencia ficción. Acción | Extraterrestres. Robots.;DreamWorks SKG, Paramount Pictures, Hasbro. Incluye BR de extras. (Segunda Mano) Slip-cover;
Un lugar en el mundo;Blu-Ray/DVD;Sencilla;2;Adolfo Aristarain;1992;Drama | Vida rural;Cameo Media S.L. Coproducción Argentina-España. Incluye pelicula en BR y Blu-Ray. Amaray transparente. Slip-Cover. Ed. 2018;
Sonrisas y lágrimas;Blu-Ray;Sencilla;2;Robert Wise;1965;Musical. Drama | Familia. Años 30. Música;Robert Wise Productions, Argyle Enterprises. Distribuida por 20th Century Fox. Incluye BR de extras Slip-Cover;
Figuras ocultas;Blu-Ray;Digibook;1;Theodore Melfi;2016;Drama | Años 60. Racismo. Comedia dramática.;20th Century Fox. Levantine Films, Chernin Entertainment, Fox 2000 Pictures;
La caída del imperio romano;Blu-Ray;Coleccionista;1;Anthony Mann;1964;Aventuras. Drama | Histórico. Antigua Roma.;Divisa. Incluye una reproducción facsímil de 36 págs. De la versión del comic de la época. Edición en cartón;
La cara oculta de Hiroshima;Blu-Ray;Digipack;1;Kenichi Watanabe;2012;Documental | Documental sobre Historia;Divisa.  Artline Films, Kami Productions. Edición Digipack;
Transformers;Blu-Ray;Especial;2;Michael Bay;2007;Ciencia ficción. Acción | Extraterrestres. Robots;Paramount Pictures, DreamWorks SKG, Hasbro. Incluye BR de extras. Edición especial (Segunda Mano) Falta el Slip-Cover (hoja a parte con las caracteristicas);
Ralph rompe Internet;Blu-Ray;Sencilla;1;Rich Moore, Phil Johnston;2018;Animación. Fantástico. Aventuras. Comedia;Walt Disney Pictures. Clásicos de Walt Disney. Nº 59 en España. Incluye audio catalán. Nacionalidad USA. 2019;
The Guilty;Blu-Ray;Sencilla;1;Gustav Möller;2018;Thriller | Secuestros / Desapariciones;Cameo. Nordisk Film. Dinamarca;Caja 2, debajo cama (2)
High Life;Blu-Ray;Amaray Negro;1;Claire Denis;2018;Ciencia ficción. Aventuras. Drama | Aventura espacial;Karma films. Coproducción Francia-Reino Unido-Alemania-Polonia-Estados Unidos. Alcatraz Film, Pandora Film;Caja 2, debajo cama (2)
El hombre sin sombra;Blu-Ray;Sencilla;1;Paul Verhoeven;2000;Terror. Thriller. Acción. Ciencia ficción | Slasher;Distribuido por Sony. Columbia Pictures, Global Entertainment Productions;Caja 3, debajo cama (1)
16 calles;Blu-Ray;Sencilla;1;Richard Donner;2006;Thriller. Acción | Buddy Film;Filmax Home Video. Audio catalán.;Caja 2, debajo cama (2)
Declive;Blu-Ray;Sencilla;1;Alfred Hitchcock;1927;Drama | Cine mudo;Divisa. ITV studios Global entertainment. Gainsborough Pictures;Caja 2, debajo cama (2)
El día de la bestia;Blu-Ray;Sencilla;1;Álex de la Iglesia;1995;Comedia. Acción. Fantástico. Terror;Mercury Films. Distribuido por 20th Century Fox. Iberoamericana, Sogetel, Canal+ España. Santiago Segura;Caja 3, debajo cama (1)
Retornados;Blu-Ray;Sencilla;1;Manuel Carballo;2013;Thriller. Drama | Zombis. Enfermedad;"Divisa.Filmax. Coproducción España-Canadá; Castelao Pictures, Ramaco Media";Caja 2, debajo cama (2)
La tierra de los muertos vivientes;Blu-Ray;Sencilla;1;George A. Romero;2005;Terror | Gore. Zombis. Sátira;Universal Pictures, Atmosphere Entertainment MM. Distribuido por Paramount Spain ;Caja 3, debajo cama (1)
Exit Humanity;Blu-Ray;Sencilla;1;John Geddes;2011;Terror. Drama | Zombis. Siglo XIX;Red Rum. Raven Sanner, distribuido por TEMA distribuciones. Foresight Features.;Caja 2, debajo cama (2)
Amanecer de los muertos;Blu-Ray;Sencilla;1;Zack Snyder;2004;Terror. Ciencia ficción | Gore. Zombis. Remake;Strike Entertainment, Metropolitan Filmexport, Toho-Towa. Distribuida por Universal Pictures;Caja 3, debajo cama (1)
Al otro lado del muro;Blu-Ray;Sencilla;1;Christian Schwochow;2013;Drama | Años 70;emmon. German films. ö Filmproduktion, Zero One Film, Terz Filmproduktion;
Danzad, danzad, malditos;Blu-Ray;Sencilla;1;Sydney Pollack;1969;Drama | Años 30. Gran Depresión. Baile;Ref. TS91. Palomar Pictures, American Broadcasting Company (ABC);Caja 1, debajo cama (2)
Straight Outta Compton;Blu-Ray;Sencilla;1;F. Gary Gray;2015;Drama | Música. Hip Hop. Años 80. Años 90. Basado en hechos reales;Universal. Legendary. Circle of Confusion, Cube Vision;
Carta a tres esposas;Blu-Ray;Sencilla;1;Joseph L. Mankiewicz;1949;Drama | Celos;Karma films. Distribuida por 20th Century Fox. Amary azul reciclable;
Who Am I: Ningún sistema es seguro;Blu-Ray;Sencilla;1;Baran bo Odar;2014;Thriller | Internet / Informática. Thriller psicológico;Karma films. Aboard (casa de peliculas). Tiff. Wiedemann & Berg Filmproduktion, Seven Pictures, Deutsche Columbia Pictures;
Charlot cambia de oficio;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Mediometraje. Cine dentro del cine. Cine mudo;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot trasnochador;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Mediometraje. Cine mudo;Divisa. The Essanay Film Manufacturing Company. Distribuida por General Film Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot, campeón de boxeo;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Deporte. Boxeo. Mediometraje. Cine mudo;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot en el parque ;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Cine mudo. Cortometraje;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
La Fuga de Charlot;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Cine mudo. Cortometraje;Divisa. Charlot rapta a su novia. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot, vagabundo;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Mediometraje. Cine mudo;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot en la playa;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Cine mudo. Cortometraje;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Su renovación;Blu-Ray;Sencilla;2;Bronco Billy Anderson;1915;Drama | Cine mudo. Cortometraje. Crimen. Policíaco;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot, trabajando de papelista;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Mediometraje. Cine mudo;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot, perfecta dama;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Mediometraje. Cine mudo;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot y los atracadores;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Robos & Atracos. Cine mudo. Cortometraje;Divisa. Charlot, portero de banco. The Essanay Film Manufacturing Company. Distribuida por General Film Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
El marino;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Mediometraje. Cine mudo;Divisa. Charlot marinero. The Essanay Film Manufacturing Company. Distribuida por General Film Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot en el teatro;Blu-Ray;Sencilla;2;Charles Chaplin;1915;Comedia | Mediometraje. Cine mudo;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot, maleante;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Mediometraje. Cine mudo;Divisa. Charlot, licenciado de presidio. The Essanay Film Manufacturing Company. Distribuida por General Film Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Parodia de Carmen;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Cine mudo. Parodia. Mediometraje;Divisa. Carmen. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Las aventuras de Charlot;Blu-Ray;Sencilla;2;Charles Chaplin, Leo White;1918;Comedia | Cine mudo. Cortometraje;Divisa. The Essanay Film Manufacturing Company. Todas sus comedias para Essanay. Cortos de Charlot en 2BR (1915-1916);
Charlot en la tienda;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Mediometraje. Cine mudo;Divisa. Charlot encargado de bazar. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot, bombero;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Cine mudo. Bomberos. Mediometraje;Divisa. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot, bohemio;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Cine mudo. Mediometraje;Divisa. Charlot, músico ambulante. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot noctámbulo;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Cine mudo. Alcoholismo. Mediometraje;Divisa. Charlot, a la una de la madrugada. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot, sastre de señoras;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Cine mudo. Cortometraje;Divisa. El conde. Lone Star Corporation. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot, prestamista;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Mediometraje. Cine mudo;Divisa. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot, tramoyista de cine;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia | Mediometraje. Cine mudo;Divisa. Lone Star Corporation. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot, héroe del patín;Blu-Ray;Sencilla;2;Charles Chaplin;1916;Comedia. Romance | Cine mudo. Patinaje sobre ruedas. Cortometraje;Divisa. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot en la calle de la paz;Blu-Ray;Sencilla;2;Charles Chaplin;1917;Comedia | Cine mudo. Cortometraje;Divisa. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot en el balneario;Blu-Ray;Sencilla;2;Charles Chaplin;1917;Comedia | Alcoholismo. Mediometraje. Cine mudo;Divisa. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Charlot emigrante;Blu-Ray;Sencilla;2;Charles Chaplin;1917;Comedia. Romance | Inmigración. Cine mudo. Cortometraje;Divisa. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
El aventurero;Blu-Ray;Sencilla;2;Charles Chaplin;1917;Comedia | Mediometraje. Cine mudo;Divisa. Lone Star Corporation, Mutual Film. Todas sus comedias para Mutual en 2BR (1916-1917);
Mabel, Fatty y la ley;Blu-Ray;Sencilla;2;Roscoe 'Fatty' Arbuckle;1915;Comedia | Cine mudo. Cortometraje;Keystone Film Company. Incluido como extra en Chaplin Todas sus comedias para Mutual en 2BR (1916-1917). Origenes del cine;
El elefante blanco de Charlie;Blu-Ray;Sencilla;2;John Coleman Terry;1916;Animación. Comedia | Animales. Cine mudo. Cortometraje;Movca Film Service. Incluido como extra en Chaplin Todas sus comedias para Mutual en 2BR (1916-1917). Origenes del cine;
La maravilla musical ;Blu-Ray;Sencilla;2;Ben Turpin, Robin Williamson;1917;Comedia | Cortometraje. Música. Cine mudo;Vogue Motion Picture Company.  Incluido como extra en Chaplin Todas sus comedias para Mutual en 2BR (1916-1917). Origenes del cine;
Mabel y Fatty en la feria de San Francisco;Blu-Ray;Sencilla;2;Mack Sennett;1915;; Incluido como extra en Chaplin Todas sus comedias para Mutual en 2BR (1916-1917). Origenes del cine;
Rango;Blu-Ray;Sencilla;1;Gore Verbinski;2011;Animación. Comedia. Western. Aventuras;Distribuido por Paramount Spain. Paramount Pictures, Nickelodeon Movies, Blind Wink, GK Films;Caja 3, debajo cama (1)
Una familia de Tokio;Blu-Ray;Sencilla;1;Yôji Yamada;2013;Drama | Familia. Vejez. Remake;a contracorriente films. Shochiku. Sumitomo Corporation, TV Asahi, Yahoo Japan, Tokio FM. Audio catalán.;Caja 2, debajo cama (2)
Creepshow 3;Blu-Ray;Sencilla;1;James Glenn Dudelson, Ana Clavell;2006;Terror. Fantástico. Ciencia ficción. Comedia. Thriller;Ref. TS399. Taurus Entertainment Company;Caja 1, debajo cama (2)
Fanático;Blu-Ray;Sencilla;1;Tony Scott;1996;Thriller | Deporte. Béisbol;Ref. TS457. Mandalay Entertainment, TriStar Pictures;Caja 1, debajo cama (2)
Psycho Raman;Blu-Ray;Sencilla;1;Anurag Kashyap;2016;Thriller. Drama | Asesinos en serie. Crimen;Brigante Films S.L. Phantom Productions. Incluye libreto de 28 páginas. Textos realizador por cineasia.;
Grandes esperanzas de Charles Dickens;Blu-Ray;Sencilla;1;Brian Kirk;2011;Serie de TV. Drama. Romance | Miniserie de TV. Drama romántico.;Divisa. BBC, BBC. 1080 25i High-Definition;
Incidente en Ox-Bow;Blu-Ray;Sencilla;1;William A. Wellman;1942;Western. Drama | Crimen. Película de culto. Siglo XIX;Karma films. Distribuida por 20th Century Fox (Blanco y negro);
Æon Flux;Blu-Ray;Sencilla;1;Karyn Kusama;2005;Ciencia ficción. Acción | Distopía. Live-Action;Filmax Home Video. MTV Films, Paramount Pictures, Lakeshore Entertainment Audio catalán.;
